image_src,title,caption,photographer,tags,prize,category
Sharon Cook_43_IMG20210808145608 (2).jpg,,"At first glance the top of a cactus can look like a chaotic mess of fluff, bumps, ridges and spikes. There is certainly chaos if you touch one! The patterns displayed, however, frequently demonstrate the well known Fibonacci sequence of numbers in which each number is the sum of the two preceding numbers, 1 1 2 3 5 8 etc. Mathematical modelling has postulated that simple mechanics is responsible for these patterns. As the plant grows, the outside shell grows faster than the core. These forces cause the plant to buckle creating ridges, hills, valleys and spiral waves. Each hill bears a pointy spike and by connecting these spikes to their closest neighbour a spiral pattern containing 3, 5 or 8 branches is revealed. 
",Sharon Cook,adults,Adults,adults
Sharon Cook_42_DSC01247 (2).JPG,,"At first glance the top of a cactus can look like a chaotic mess of fluff, bumps, ridges and spikes. There is certainly chaos if you touch one! The patterns displayed, however, frequently demonstrate the well known Fibonacci sequence of numbers in which each number is the sum of the two preceding numbers, 1 1 2 3 5 8 etc. Mathematical modelling has postulated that simple mechanics is responsible for these patterns. As the plant grows, the outside shell grows faster than the core. These forces cause the plant to buckle creating ridges, hills, valleys and spiral waves. Each hill bears a pointy spike and by connecting these spikes to their closest neighbour a spiral pattern containing 3, 5 or 8 branches is revealed. 
",Sharon Cook,adults winner,"Second Place, Adults",adults
Sharon Cook_41_DSC01246 (2).JPG,,"At first glance the top of a cactus can look like a chaotic mess of fluff, bumps, ridges and spikes. There is certainly chaos if you touch one! The patterns displayed, however, frequently demonstrate the well known Fibonacci sequence of numbers in which each number is the sum of the two preceding numbers, 1 1 2 3 5 8 etc. Mathematical modelling has postulated that simple mechanics is responsible for these patterns. As the plant grows, the outside shell grows faster than the core. These forces cause the plant to buckle creating ridges, hills, valleys and spiral waves. Each hill bears a pointy spike and by connecting these spikes to their closest neighbour a spiral pattern containing 3, 5 or 8 branches is revealed. 
",Sharon Cook,adults,Adults,adults
Oshadha Perera_40_CaptSci3.jpg,,"The beach is a good example to show how order and chaos is seen from the tiniest atoms to the biggest structures in nature. At molecular levels, every water molecule is made up of oxygen and hydrogen atoms bound by hydrogen bonds. This order is what makes water orderly and dynamic; in a slow stream, it would flow gently, but in a choppy storm, it would crash over rocks and go crazy. On land, the rocks are made up of minerals that go in an orderly structure. When we look at them, we both see the order in the way they cover the beach, but we also see the unique differences in them. This subtle balance of order and chaos is what makes nature exciting and interesting.",Oshadha Perera,teens,Teens,teens
Oshadha Perera_39_CaptSci2.jpg,,"One of the best places to observe order and chaos is nature. This photo shows how order prevails in everything from the trees that grow in an orderly way to the grass that keeps even. It also how chaos makes them unique, like the subtle differences in their shapes and structure. It is this masterful coordination of order and chaos that makes nature fascinating and spectacular.",Oshadha Perera,teens,Teens,teens
Oshadha Perera_38_CaptSci1.jpg,,"The nature around us is filled with order and chaos. In this photo of a butterfly sucking nectar from a flower, we can see order in everything from the shape, structure, colour, and position of the flower petals to the patterns and structure of the butterfly’s wings, and in the way the pattern on its left wings is exactly replicated on its rights wings. These patterns and colours are not there for no reason; for example, the vibrant colour of the flower helps attract insects pollinate the flowers, and the colour on the butterflies promotes camouflage, and keeps predators away. Sometimes, nature breaks out of this nice orderly box, and mutations in genes create different colours and patterns on butterflies, which can or cannot be helpful based on the butterfly’s habitat and predators - a classic example is the two variations of dark and light Peppered moths.",Oshadha Perera,teenswinner,"First Place, Teens",teens
Lily Goding Ross_37_IMG-7514.jpg,,"The early morning sunlight coming through the sky, blinds everything in its pathway except the roaring ocean creating a mythical mist floating on the top of waters making a dramatic effect to the sea. ",Lily Goding Ross,teens,Teens,teens
Lily Goding Ross_36_IMG-6983.JPG,,"The Fantail is one of the few native birds in New Zealand (Aotearoa) they are commonly found in forests and parks on the South, North and Stewart Island. There are 10 sub-species of Fantails, three of the species live in Aotearoa, the Fantail is native to New Zealand but can also be found elsewhere. Fantails do not live for long, their average life span is 1 year but the oldest known Fantail was 3 years old. They stay in breeding pairs all year long, a pair will be together for more than one season due to death of one or both birds. The Maori name for the Fantail is Piwakawaka, and in Maori tales the Fantail is blameworthy for bringing to death amongst the earth. ",Lily Goding Ross,teens,Teens,teens
Joseph Pallante _35_inbound8634235771442617412.jpg,,"Bioluminescent Armillaria novae-zelandiae. This wood rot fungus is common throughout NZ and is one of three known Armillaria species, all of which emit light. This photo was taken with an 8 minute exposure at ISO 1250 - f/2.8 ",Joseph Pallante ,adults winner,"First Place, Adults",adults
Joseph Pallante _34_inbound317988141309801624.jpg,,Bioluminescent Mycena roseoflava - a new species recently discovered to emit light at Stewart Island this past April. This photo was taken with an 8 minute exposure at ISO 1250 - f/2.8.,Joseph Pallante ,adults,Adults,adults
Joseph Pallante _33_inbound8851135260528238707.jpg,,Bioluminescent Mycena roseoflava - a new species recently discovered to emit light at Stewart Island this past April. This photo was taken with an 8 minute exposure at ISO 1250 - f/2.8.,Joseph Pallante ,adults,Adults,adults
